# Tuned table for the FlyDSL K5 mfma16_hip kernel
# (chunk_gated_delta_rule_fwd_h_flydsl_mfma16_hip). Two consumers:
#
#   runtime  _tuned_bv() in linear_attention_prefill_kernels.py looks up BV on
#            (arch, H, Hg, V, is_varlen, snapshot_bf16, state_bf16,
#            total_chunks, max_seq_chunks). A miss falls back to the
#            _hipeq_select_bv CU/LDS rule, so partial coverage is fine.
#   build    aiter/aot/flydsl/chunk_gdn_h_mfma16_hip.py pre-compiles every
#            (arch, dtype, K, V, BT, H, Hg) appearing here, fanned out over all
#            legal BV x snapshot x state, so no batch shape can hit the JIT.
#
# Adding a model means adding its rows here; no code change. Rows whose ``BV``
# is empty are AOT-only (shape gets pre-compiled, runtime keeps using the rule),
# which is the way to cover a new model before it has been tuned.
#
# Columns
#   model             free-form name, diagnostics only
#   arch              gfx target the measurement was taken on; BV does not
#                     transfer across arch (the rule reads CU count / LDS size)
#   K,V,BT            head dim / value dim / chunk size (kernel supports 128,128,64)
#   H,Hg              per-rank value- and key-head counts (already TP-sharded)
#   is_varlen         whether cu_seqlens was passed
#   snapshot_bf16     per-chunk h snapshot dtype (False = fp32)
#   state_bf16        SSM state dtype (False = fp32)
#   T_flat,N          total tokens / number of sequences -- human-readable only
#   total_chunks      sum over sequences of ceil(seqlen/BT)   <- part of the key
#   max_seq_chunks    max over sequences of ceil(seqlen/BT)   <- part of the key
#   BV                measured best value tile; empty = AOT-only row
#   us                K5 device time at that BV, for regression tracking
#
# Measured with op_tests/op_benchmarks/triton/tune_gated_delta_rule_bv.py on
# MI300X (gfx942). The two families mirror the varlen-qwen3.5-397b-ptpc-ali
# (TP8) and varlen-qwen-ali-tp1 PrefillGroups in
# op_tests/flydsl_tests/test_flydsl_linear_attention_prefill.py: 8192-token
# segments, batched-token budget swept 8192..65536.
model,arch,dtype,K,V,BT,H,Hg,is_varlen,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,8192,1,128,128,16,239.0
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,16384,2,256,128,32,303.2
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,24576,3,384,128,64,449.7
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,32768,4,512,128,64,462.4
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,40960,5,640,128,64,473.1
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,49152,6,768,128,64,917.2
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,57344,7,896,128,64,921.1
varlen-qwen3.5-397b-ptpc-ali-bf16snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,True,False,65536,8,1024,128,64,945.8
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,8192,1,128,128,16,244.3
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,16384,2,256,128,32,300.4
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,24576,3,384,128,64,480.9
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,32768,4,512,128,64,506.5
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,40960,5,640,128,64,512.2
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,49152,6,768,128,64,980.5
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,57344,7,896,128,64,982.9
varlen-qwen3.5-397b-ptpc-ali-fp32snapshot,gfx942,torch.bfloat16,128,128,64,8,2,True,False,False,65536,8,1024,128,64,1002.7
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,8192,1,128,128,64,477.2
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,16384,2,256,128,64,947.1
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,24576,3,384,128,64,1404.5
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,32768,4,512,128,64,1891.7
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,40960,5,640,128,64,1905.5
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,49152,6,768,128,64,2368.8
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,57344,7,896,128,64,2824.8
varlen-qwen-ali-tp1-bf16snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,True,False,65536,8,1024,128,64,3366.8
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,8192,1,128,128,64,512.6
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,16384,2,256,128,64,1016.0
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,24576,3,384,128,64,1516.1
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,32768,4,512,128,64,2016.2
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,40960,5,640,128,64,2050.1
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,49152,6,768,128,64,2543.5
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,57344,7,896,128,64,3048.2
varlen-qwen-ali-tp1-fp32snapshot,gfx942,torch.bfloat16,128,128,64,32,16,True,False,False,65536,8,1024,128,64,3578.9
