cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,q_dtype_a2,q_dtype_w2,q_type2,block_m,block_m2,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
80,1,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,34.7104,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2,0.0%,18.5952,flydsl_moe2_afp8_wfp8_bf16_t32x256x64_atomic_bnt0,0.1%,53.3056,0,0.71,8498.12,
80,2,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,37.451,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2,0.0%,25.3429,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_reduce_bnt0,0.0%,62.7939,0,1.2,7214.23,
80,4,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,41.6154,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w2,0.0%,32.6879,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_reduce_w3_bnt0,0.0%,74.3033,0,2.03,6097.09,
80,8,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,50.4549,flydsl_moe1_afp8_wfp8_bf16_t32x64x256,0.0%,42.9826,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_reduce_w2_bnt0,0.0%,93.4375,0,3.23,4849.05,
80,16,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,65.3654,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_w3,0.0%,62.9984,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_reduce_w2_bnt0,0.0%,128.3638,0,4.71,3530.45,
80,32,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,83.1831,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_w3,0.0%,83.7177,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_reduce_w2_bnt0,0.0%,166.9008,0,7.24,2716.45,
80,1024,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,64,64,0,1211.8118,flydsl_moe1_aint8_wint8_bf16_t64x128x128,0.0%,1401.2199,flydsl_moe2_aint8_wint8_bf16_t64x128x128_atomic,8.6%,2613.0317,0,197.24,1930.99,
80,2048,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,2274.3662,flydsl_moe1_aint8_wint8_bf16_t32x256x256_bnt0,0.0%,2785.6495,flydsl_moe2_aint8_wint8_bf16_t32x256x128_reduce_w3_bnt0,0.5%,5060.0157,0,203.71,999.67,
80,4096,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,4080.9652,flydsl_moe1_aint8_wint8_bf16_t32x256x256_bnt0,0.0%,5216.7552,flydsl_moe2_aint8_wint8_bf16_t32x256x128_reduce_w3_bnt0,0.5%,9297.7204,0,221.73,546.75,
80,8192,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,64,32,0,8462.5555,flydsl_moe1_aint8_wint8_bf16_t64x256x256_w2_bnt0,0.0%,9541.3136,flydsl_moe2_aint8_wint8_bf16_t32x256x128_atomic_bnt0,98.5%,18003.8691,0,229.02,285.15,
80,16384,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,64,32,0,16137.5828,flydsl_moe1_aint8_wint8_bf16_t64x128x128,0.0%,19934.5188,flydsl_moe2_aint8_wint8_bf16_t32x256x128_reduce_w4_bnt0,0.4%,36072.1016,0,228.61,145.11,
80,20480,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,32,32,0,19208.194,flydsl_moe1_aint8_wint8_bf16_t32x128x256_bnt0,0.0%,24835.4666,flydsl_moe2_aint8_wint8_bf16_t32x256x128_reduce_w3_bnt0,0.4%,44043.6606,0,234.04,119.99,
80,32768,4096,1536,400,20,ActivationType.Gelu,torch.bfloat16,torch.int8,torch.int8,QuantType.per_Token,0,0,torch.int8,torch.int8,QuantType.per_Token,64,32,0,31946.345,flydsl_moe1_aint8_wint8_bf16_t64x256x128_w3_bnt0,0.0%,36148.0363,flydsl_moe2_aint8_wint8_bf16_t32x256x128_reduce_w4_bnt0,99.8%,68094.3813,0,242.2,79.83,
