gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,80,1,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,16.676653061224552,impl__flydsl_gfx942__16_16_16_False,74.63%,0.0,,0%,16.676653061224552,0,0,0,0.0,0.0,
gfx942,80,2,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,32.14871000000011,impl__flydsl_gfx942__16_16_16_False,72.31%,0.0,,0%,32.14871000000011,0,0,0,0.0,0.0,
gfx942,80,4,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,43.28041999999998,impl__flydsl_gfx942__16_16_16_False,72.81%,0.0,,0%,43.28041999999998,0,0,0,0.0,0.0,
gfx942,80,8,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,60.51329000000001,impl__flydsl_gfx942__16_16_16_False,72.58%,0.0,,0%,60.51329000000001,0,0,0,0.0,0.0,
gfx942,80,16,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,92.05500000000004,impl__flydsl_gfx942__16_16_16_False,73.06%,0.0,,0%,92.05500000000004,0,0,0,0.0,0.0,
gfx942,80,32,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,131.6098850574711,impl__flydsl_gfx942__16_16_16_False,72.72%,0.0,,0%,131.6098850574711,0,0,0,0.0,0.0,
gfx942,80,64,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,155.26812244897945,impl__flydsl_gfx942__16_16_16_False,72.62%,0.0,,0%,155.26812244897945,0,0,0,0.0,0.0,
gfx942,80,128,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,189.76492929292925,impl__flydsl_gfx942__16_16_16_False,72.94%,0.0,,0%,189.76492929292925,0,0,0,0.0,0.0,
gfx942,80,256,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,97.4704,moe_ck2stages_gemm1_256x16x64x256_1x4_MulABScale_v1_Nswizzle0_Quant1_MulRoutedWeight0_silu_F8_F8_B16,0.0%,100.755,moe_ck2stages_gemm2_64x16x64x64_1x1_MulABScaleExpertWeight_v1_Nswizzle0_Quant1_MulRoutedWeight1_F8_F8_B16,0.1%,198.2254,0,0,0,48.75,2301.07,
gfx942,80,512,4096,192,192,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,64,0,310.63068000000015,impl__flydsl_gfx942__64_128_256_True,77.14%,0.0,,0%,310.63068000000015,0,0,0,0.0,0.0,
