gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,2,7.3200,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x2_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,3.44,3440.19
gfx950,256,2,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,2,7.4000,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x2_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,6.80,3405.22
gfx950,256,4,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,2,7.4500,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x2_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,13.51,3386.76
gfx950,256,8,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,2,7.6900,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x2_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,26.18,3289.58
gfx950,256,16,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,7.5000,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,53.69,3390.40
gfx950,256,32,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,6.9900,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,115.21,3675.27
gfx950,256,64,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,7.6700,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,209.99,3417.78
gfx950,256,128,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,8.5100,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,378.52,3203.64
gfx950,256,256,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,11.5300,flydsl_hgemm_abf16_wbf16_bf16_t64x64x128x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,558.76,2546.41
gfx950,256,512,6144,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,0,1,20.3000,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x2_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,634.72,1652.93
