gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,137.2557,conv3d_implicit_t192x128_w2x2_g1,0.0,90.73,1173.25
gfx950,256,1,96,6,370,546,96,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,2,2,1,1,678.0633,conv3d_implicit_t192x128_w2x2_g1,0.0,587.72,570.7
gfx950,256,1,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,128,2,4,4,1,47.778,conv3d_implicit_t128x128_w2x4_g4,0.0,173.77,1012.75
gfx950,256,4,96,1,369,545,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,128,2,2,1,1,179.3779,conv3d_implicit_t128x128_w2x2_g1,0.0,185.14,1076.23
gfx950,256,1,96,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,286.5347,conv3d_implicit_t128x192_w2x2_g1,0.0,695.4,476.66
gfx950,256,1,192,6,186,274,192,3,3,3,1,1,1,0,0,0,1,1,1,1,True,128,192,2,2,1,1,520.8798,conv3d_implicit_t128x192_w2x2_g1,0.0,765.08,376.83
gfx950,256,1,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,64,64,2,2,8,1,37.4419,conv3d_implicit_t64x64_w2x2_g8,0.0,221.74,664.02
gfx950,256,4,192,1,185,273,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,128,192,4,1,1,1,111.3879,conv3d_implicit_t128x192_w4x1_g1,0.0,298.14,874.94
gfx950,256,1,192,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,8,1,136.4306,conv3d_implicit_t192x128_w4x1_g8,0.0,730.25,316.09
gfx950,256,1,384,4,94,138,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,192,128,4,1,8,1,260.9663,conv3d_implicit_t192x128_w4x1_g8,0.0,763.53,256.86
gfx950,256,1,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,32,32,1,2,8,1,42.8818,conv3d_implicit_t32x32_w1x2_g8,0.0,193.61,346.1
gfx950,256,2,384,1,93,137,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,64,64,2,2,8,1,58.1054,conv3d_implicit_t64x64_w2x2_g8,0.0,285.77,465.17
gfx950,256,1,384,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,32,32,1,2,8,1,92.3185,conv3d_implicit_t32x32_w1x2_g8,0.0,269.8,196.13
gfx950,256,1,384,3,48,70,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True,32,32,1,2,1,1,78.3761,conv3d_implicit_t32x32_w1x2_g1,0.0,26.48,109.79
gfx950,256,1,16,3,48,70,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,64,2,2,1,1,17.0486,conv3d_implicit_t64x64_w2x2_g1,0.0,60.87,179.29
gfx950,256,1,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,64,64,2,2,8,1,51.3564,conv3d_implicit_t64x64_w2x2_g8,0.0,323.32,306.5
gfx950,256,2,384,1,92,136,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,192,64,4,1,8,1,81.3622,conv3d_implicit_t192x64_w4x1_g8,0.0,408.17,370.62
gfx950,256,1,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,4,1,1,1,114.6295,conv3d_implicit_t128x192_w4x1_g1,0.0,579.42,514.55
gfx950,256,4,384,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,128,192,2,2,1,1,441.4937,conv3d_implicit_t128x192_w2x2_g1,0.0,601.77,525.37
gfx950,256,1,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,3,2,1,1,141.2294,conv3d_implicit_t96x96_w3x2_g1,0.0,470.29,818.83
gfx950,256,4,192,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,96,96,2,3,1,1,611.977,conv3d_implicit_t96x96_w2x3_g1,0.0,434.13,754.23
gfx950,256,1,96,6,370,546,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True,64,32,1,2,1,1,411.5981,conv3d_implicit_t64x32_w1x2_g1,0.0,30.26,577.13
