cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.3537,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4_fp4,0.5%,7.5406,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.5%,18.8943,0,5.24,74880.4,
256,2,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,15.5646,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_kw4,0.0%,8.7063,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.3%,24.2709,0,8.17,58293.44,
256,4,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.9903,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0_kw2_fp4,0.6%,12.7431,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,0.0%,30.7334,0,12.9,46037.12,
256,8,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.7397,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4_kw2_fp4,0.8%,17.7291,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,0.1%,45.4688,0,17.43,31119.43,
256,16,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,40.5338,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,24.9519,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_sbm32,0.1%,65.4857,0,24.21,21609.84,
256,32,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,91.2564,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,70.2575,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,1.2%,161.5139,0,314.12,8827.73,
256,64,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,86.9658,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,50.2012,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.2%,137.167,0,46.23,10324.4,
256,128,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,87.5346,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,54.4124,moe_ck2stages_gemm2_64x32x32x128_1x1_MulABScaleExpertWeightShuffled_v1_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,1.2%,141.947,0,89.35,9986.43,
256,256,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,86.021,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,45.4332,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,1.2%,131.454,0,192.96,10804.51,
256,512,7168,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,91.3748,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,64.4229,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,1.2%,155.798,0,325.62,9151.6,
