gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,14.8738,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kb4_xcd4_fp4,14.0%,9.0879,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,2.2%,23.9617,0,0,0,5.91,76209.68,
gfx950,256,2,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.0559,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb4_bnt0_xcd4_fp4,12.4%,11.1949,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce,2.4%,29.2508,0,0,0,9.68,62430.15,
gfx950,256,4,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,23.1302,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_bnt0,0.0%,14.1162,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_xcd4,2.1%,37.2464,0,0,0,15.2,49029.41,
gfx950,256,8,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,34.5745,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,21.7274,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_xcd4,2.3%,56.3019,0,0,0,20.11,32436.61,
gfx950,256,16,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,52.4011,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,32.0556,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce,2.3%,84.4567,0,0,0,26.82,21625.16,
gfx950,256,32,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,86.4238,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,49.6908,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2,4.8%,136.1146,0,0,0,33.28,13420.2,
gfx950,256,64,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,96.4246,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,57.4377,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,4.9%,153.8623,0,0,0,58.88,11876.04,
gfx950,256,128,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,110.6328,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_xcd4_fp4,0.7%,62.2927,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,4.9%,172.9255,0,0,0,104.78,10573.65,
gfx950,256,256,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,112.2026,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_xcd4_fp4,0.7%,68.797,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_bnt2,2.4%,180.9996,0,0,0,200.21,10115.02,
gfx950,256,512,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,116.1219,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.7%,68.8314,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,4.9%,184.9533,0,0,0,391.87,9924.3,
