gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,libtype,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,3,1,1,120.6293,conv3d_implicit_t96x96_w2x3_g1,0.0,45.06,1721.17
gfx950,256,1,96,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,1,1,371.1479,conv3d_implicit_t128x128_w2x2_g1,0.0,468.67,1085.33
gfx950,256,1,96,1,1025,1025,96,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,128,2,2,1,1,201.8576,conv3d_implicit_t128x128_w2x2_g1,0.0,215.43,1249.48
gfx950,256,1,96,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,149.4461,conv3d_implicit_t128x192_w2x2_g1,0.0,581.97,1012.58
gfx950,256,1,192,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,240.0301,conv3d_implicit_t128x192_w2x2_g1,0.0,724.68,841.52
gfx950,256,1,192,1,513,513,192,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,192,4,1,1,1,109.1461,conv3d_implicit_t128x192_w4x1_g1,0.0,398.43,1162.54
gfx950,256,1,192,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,4,4,1,118.1617,conv3d_implicit_t128x128_w2x4_g4,0.0,736.05,650.16
gfx950,256,1,384,1,256,256,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,1,4,8,1,207.9285,conv3d_implicit_t128x192_w1x4_g8,0.0,836.57,496.89
gfx950,256,1,384,1,257,257,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,128,128,2,2,1,1,91.9361,conv3d_implicit_t128x128_w2x2_g1,0.0,473.01,717.48
gfx950,256,1,384,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,8,1,77.0961,conv3d_implicit_t128x128_w2x2_g8,0.0,564.06,360.85
gfx950,256,1,384,1,128,128,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,32,32,1,2,1,1,43.831,conv3d_implicit_t32x32_w1x2_g1,0.0,82.68,316.05
gfx950,256,1,16,1,128,128,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,64,2,2,1,1,18.2032,conv3d_implicit_t128x64_w2x2_g1,0.0,99.54,726.12
gfx950,256,1,384,1,256,256,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,4,1,1,1,127.721,conv3d_implicit_t128x192_w4x1_g1,0.0,680.96,601.5
gfx950,256,1,384,1,512,512,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,492.3953,conv3d_implicit_t128x192_w2x2_g1,0.0,706.53,616.0
gfx950,256,1,192,1,1024,1024,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,1,1,655.1512,conv3d_implicit_t128x128_w2x2_g1,0.0,531.01,922.4
gfx950,256,1,96,1,1024,1024,3,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,32,2,1,1,1,218.0448,conv3d_implicit_t128x32_w2x1_g1,0.0,24.93,952.2
