gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,128,1,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.8142,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,0.9%,8.4126,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,1.2%,20.2268,0,0,0,7.47,159255.93
gfx950,128,2,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.5433,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2_fp4,0.9%,12.181,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,31.7243,0,0,0,9.52,101538.88
gfx950,128,4,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,35.7764,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw4_fp4,0.9%,20.7838,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,56.5602,0,0,0,10.68,56953.03
gfx950,128,8,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,65.8387,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,36.8962,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,102.7349,0,0,0,11.76,31355.69
gfx950,128,16,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,129.0231,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,66.8359,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,195.859,0,0,0,12.33,16447.66
gfx950,128,32,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,248.9151,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,127.2058,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,376.1209,0,0,0,12.85,8565.38
gfx950,128,64,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,330.5847,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,167.5962,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.1%,498.1809,0,0,0,19.4,6467.55
gfx950,128,128,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,335.8294,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,168.3944,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.1%,504.2238,0,0,0,38.33,6391.6
gfx950,128,256,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,343.7394,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,171.4718,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,515.2112,0,0,0,75.03,6258.35
gfx950,128,512,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,346.9527,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,176.7353,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.1%,523.688,0,0,0,147.62,6163.05
gfx950,128,1024,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,355.9108,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,190.5444,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.1%,546.4552,0,0,0,282.95,5917.79
gfx950,128,2048,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,374.1969,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.9%,219.0259,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm64,1.1%,593.2228,0,0,0,521.28,5472.47
gfx950,128,4096,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,449.052,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_fp4,0.9%,346.5283,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm128,1.1%,795.5803,0,0,0,777.39,4112.16
gfx950,128,8192,4096,1024,256,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,606.1585,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.9%,604.7091,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,1.1%,1210.8676,0,0,0,1021.54,2743.4
