gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,1280,4096,21,0,8.0223,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1.31,327.34,0.0
gfx950,256,1,2304,4096,21,0,8.3559,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.26,565.5,0.0
gfx950,256,1,4096,2048,21,0,5.9995,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.8,700.65,0.0
gfx950,256,1,4608,4096,21,0,8.835,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.27,1069.43,0.0
gfx950,256,1,9216,4096,21,0,8.7294,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.65,2164.51,0.0
gfx950,256,2,1280,4096,21,0,8.0008,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,2.62,328.8,0.0
gfx950,256,2,2304,4096,21,0,8.7943,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,4.29,538.06,0.0
gfx950,256,2,4096,2048,21,0,6.0917,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.51,691.55,0.0
gfx950,256,2,4608,4096,21,0,8.9699,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.42,1054.61,0.0
gfx950,256,2,9216,4096,21,0,9.2229,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.37,2050.91,0.0
gfx950,256,4,1280,4096,21,0,8.1421,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,5.15,324.22,0.0
gfx950,256,4,2304,4096,21,0,8.4755,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.91,559.87,0.0
