cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,tflops,bw,_tag
256,256,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,208.4462,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,109.1431,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_persist,5.0%,317.5893,0,0,182.57,11418.01,
256,512,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,215.3665,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,109.5792,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,5.1%,324.9457,0,0,356.87,11166.78,
256,1024,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,208.4256,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.8%,121.3742,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2,5.1%,329.7998,0,0,703.24,11016.73,
256,2048,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,207.582,flydsl_mxmoe_g1_a4w4_64x256x256_nt_swiglu_bias_xcd2,1.1229%,151.789,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.0%,359.371,0,0,1290.74909547515,10136.46862013351,
256,4096,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,286.14300000000003,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias,1.1291%,210.7843,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,5.1%,496.92730000000006,0,0,1866.903899270577,7368.537664869689,
256,8192,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,470.404,flydsl_mxmoe_g1_a4w4_128x256x256_swiglu_bias,1.1264%,637.455,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,5.0%,1107.859,0,0,1674.7875943129948,3339.207556825372,
256,16384,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,791.1469999999999,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias,1.1241%,940.8593,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.1%,1732.0063,0,0,2142.516403925321,2179.473952955021,
256,32768,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1450.573,flydsl_mxmoe_g1_a4w4_64x256x256_swiglu_bias,1.1255%,2466.0812,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.0%,3916.6542,0,0,1894.9131561951526,1002.3491881601394,
256,256,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,98.4171,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,61.0182,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2_persist,2.0%,159.4353,0,0,181.84,11379.53,
256,512,3072,1536,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,102.0754,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,65.2416,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_reduce_bnt2_persist,2.0%,167.317,0,0,346.54,10857.58,
